Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM3026143,"SS2_15_0048_M11","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750199",SRX3750199,"Kristian Pietras","Nov 23, 2018"
GSM3026144,"SS2_15_0048_M12","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750200",SRX3750200,"Kristian Pietras","Nov 23, 2018"
GSM3026145,"SS2_15_0048_M13","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750201",SRX3750201,"Kristian Pietras","Nov 23, 2018"
GSM3026146,"SS2_15_0048_M14","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750202",SRX3750202,"Kristian Pietras","Nov 23, 2018"
GSM3026147,"SS2_15_0048_M15","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750203",SRX3750203,"Kristian Pietras","Nov 23, 2018"
GSM3026148,"SS2_15_0048_M16","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750204",SRX3750204,"Kristian Pietras","Nov 23, 2018"
GSM3026149,"SS2_15_0048_M17","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750205",SRX3750205,"Kristian Pietras","Nov 23, 2018"
GSM3026150,"SS2_15_0048_M18","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750206",SRX3750206,"Kristian Pietras","Nov 23, 2018"
GSM3026151,"SS2_15_0048_M19","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750207",SRX3750207,"Kristian Pietras","Nov 23, 2018"
GSM3026152,"SS2_15_0048_M20","SRA","Mus musculus",1,GPL13112,GSE111229,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX3750208",SRX3750208,"Kristian Pietras","Nov 23, 2018"
